$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\smoke.py C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py
  try_ttsize.py    compiled  15.3s   222 plies legal   34.5s total
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\match_fast.py --candidate C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py --champion C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\sprint_champion.py --workers 15 --base-ms 5000 --inc-ms 50 --elo0 -5.0 --elo1 8.0 --max-minutes 60.00
15 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 8.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
   2800 games  +996 =824 -980  elo +2 +/- 13  LLR +0.21  (46 min)
   2840 games  +1011 =831 -998  elo +2 +/- 13  LLR +0.04  (47 min)
   2880 games  +1019 =849 -1012  elo +1 +/- 13  LLR -0.29  (47 min)
   2920 games  +1032 =860 -1028  elo +0 +/- 13  LLR -0.46  (48 min)
   2960 games  +1048 =873 -1039  elo +1 +/- 13  LLR -0.20  (49 min)
   3000 games  +1058 =887 -1055  elo +0 +/- 12  LLR -0.53  (49 min)
   3040 games  +1066 =906 -1068  elo -0 +/- 12  LLR -0.81  (50 min)
   3080 games  +1082 =917 -1081  elo +0 +/- 12  LLR -0.65  (51 min)
   3120 games  +1090 =928 -1102  elo -1 +/- 12  LLR -1.36  (51 min)
   3160 games  +1107 =943 -1110  elo -0 +/- 12  LLR -0.89  (52 min)
   3200 games  +1123 =951 -1126  elo -0 +/- 12  LLR -0.89  (53 min)
   3240 games  +1135 =964 -1141  elo -1 +/- 12  LLR -1.06  (53 min)
   3280 games  +1150 =977 -1153  elo -0 +/- 12  LLR -0.91  (54 min)
   3320 games  +1165 =991 -1164  elo +0 +/- 12  LLR -0.71  (55 min)
   3360 games  +1179 =1000 -1181  elo -0 +/- 12  LLR -0.88  (55 min)
   3400 games  +1194 =1010 -1196  elo -0 +/- 12  LLR -0.89  (56 min)
   3440 games  +1206 =1021 -1213  elo -1 +/- 12  LLR -1.16  (56 min)
   3480 games  +1219 =1038 -1223  elo -0 +/- 12  LLR -1.01  (57 min)
   3520 games  +1228 =1046 -1246  elo -2 +/- 11  LLR -1.77  (58 min)
   3560 games  +1239 =1061 -1260  elo -2 +/- 11  LLR -1.94  (58 min)
   3600 games  +1256 =1074 -1270  elo -1 +/- 11  LLR -1.57  (59 min)
   3640 games  +1270 =1083 -1287  elo -2 +/- 11  LLR -1.74  (60 min)
   3680 games  +1287 =1093 -1300  elo -1 +/- 11  LLR -1.54  (60 min)
SPRT: out of time at 60 minutes, undecided
RESULT inconclusive 1287 1093 1300 -1.2 11.2 -1.537
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\smoke.py C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_lmrhist.py
  try_lmrhist.py   compiled  14.6s   197 plies legal   32.8s total
